placename,year_month,common_name,n_detections,sampling_days
BCAM1,2023-11,Californian Sea Lion,0,4
BCAM1,2023-11,Domestic Cattle,0,4
BCAM1,2023-11,Elk,0,4
BCAM1,2023-11,Black-tailed Jackrabbit,0,4
BCAM1,2025-03,American Badger,0,31
BCAM1,2025-03,Bobcat,0,31
BCAM1,2025-03,Coyote,0,31
BCAM1,2025-03,Domestic Dog,0,31
BCAM1,2025-03,Human,0,31
BCAM1,2025-03,Human-Camera Trapper,1,31
BCAM1,2025-03,Mule Deer,0,31
BCAM1,2025-03,North American River Otter,0,31
BCAM1,2025-03,Northern Elephant Seal,87,31
BCAM1,2025-03,Northern Raccoon,0,31
BCAM1,2025-03,Striped Skunk,0,31
BCAM1,2025-03,Brush Rabbit,0,31
BCAM1,2025-03,Californian Sea Lion,0,31
BCAM1,2025-03,Domestic Cattle,0,31
BCAM1,2025-03,Elk,0,31
BCAM1,2025-03,Black-tailed Jackrabbit,0,31
BCAM10,2023-11,American Badger,0,26
BCAM10,2023-11,Bobcat,8,26
BCAM10,2023-11,Coyote,8,26
BCAM10,2023-11,Domestic Dog,0,26
BCAM10,2023-11,Human,1,26
BCAM10,2023-11,Human-Camera Trapper,1,26
BCAM10,2023-11,Mule Deer,2,26
BCAM10,2023-11,North American River Otter,0,26
BCAM10,2023-11,Northern Elephant Seal,0,26
BCAM10,2023-11,Northern Raccoon,35,26
BCAM10,2023-11,Striped Skunk,7,26
BCAM10,2023-11,Brush Rabbit,0,26
BCAM10,2023-11,Californian Sea Lion,0,26
BCAM10,2023-11,Domestic Cattle,0,26
BCAM10,2023-11,Elk,0,26
BCAM10,2023-11,Black-tailed Jackrabbit,0,26
BCAM10,2023-12,American Badger,0,21
BCAM10,2023-12,Bobcat,7,21
BCAM10,2023-12,Coyote,9,21
BCAM10,2023-12,Domestic Dog,0,21
BCAM10,2023-12,Human,0,21
BCAM10,2023-12,Human-Camera Trapper,1,21
BCAM10,2023-12,Mule Deer,1,21
BCAM10,2023-12,North American River Otter,0,21
BCAM10,2023-12,Northern Elephant Seal,13,21
BCAM10,2023-12,Northern Raccoon,16,21
BCAM10,2023-12,Striped Skunk,1,21
BCAM10,2023-12,Brush Rabbit,1,21
BCAM10,2023-12,Californian Sea Lion,0,21
BCAM10,2023-12,Domestic Cattle,0,21
BCAM10,2023-12,Elk,0,21
BCAM10,2023-12,Black-tailed Jackrabbit,0,21
BCAM11,2023-11,American Badger,1,30
BCAM11,2023-11,Bobcat,3,30
BCAM11,2023-11,Coyote,9,30
BCAM11,2023-11,Domestic Dog,0,30
BCAM11,2023-11,Human,0,30
BCAM11,2023-11,Human-Camera Trapper,2,30
BCAM11,2023-11,Mule Deer,13,30
BCAM11,2023-11,North American River Otter,0,30
BCAM11,2023-11,Northern Elephant Seal,0,30
BCAM11,2023-11,Northern Raccoon,4,30
BCAM11,2023-11,Striped Skunk,3,30
BCAM11,2023-11,Brush Rabbit,0,30
BCAM11,2023-11,Californian Sea Lion,0,30
BCAM11,2023-11,Domestic Cattle,0,30
BCAM11,2023-11,Elk,0,30
BCAM11,2023-11,Black-tailed Jackrabbit,0,30
BCAM11,2023-12,American Badger,1,31
BCAM11,2023-12,Bobcat,2,31
BCAM11,2023-12,Coyote,4,31
BCAM11,2023-12,Domestic Dog,0,31
BCAM11,2023-12,Human,2,31
BCAM11,2023-12,Human-Camera Trapper,2,31
BCAM11,2023-12,Mule Deer,1,31
BCAM11,2023-12,North American River Otter,0,31
BCAM11,2023-12,Northern Elephant Seal,0,31
BCAM11,2023-12,Northern Raccoon,0,31
